img_name,target
2f666f4f-eb29-4a75-84d1-a91eb098d0e1.jpg,1
a9ec061f-36da-4205-a57d-aa22d34c26fa.jpg,1
72e4a710-6c7a-4495-a26d-8788d539936e.jpg,1
63a2b3c3-b53c-476d-8ee1-287251ed087a.jpg,1
b45c753e-1f0f-449d-a60a-85dbf2c4fd31.jpg,0
7f3c1823-3941-4648-9097-977f14ada79c.jpg,1
a684c698-0a59-43d4-8df0-c45b08bfda09.jpg,1
e269afd7-2f13-4bfe-8cc0-d069ba559ede.jpg,1
8a661b91-9bd6-4bfe-a384-0ba0280d6215.jpg,1
01898e88-9932-4f39-8ff6-4665347f3fa5.jpg,1
9dfc3370-ae03-46df-a48b-6e9a50858be0.jpg,0
3b5188a6-378c-4b6b-8ef4-5ed4dd854ee5.jpg,1
1060b8ab-bc0a-47a7-ba91-0ae6eaedf5d2.jpg,1
0bfeed04-36af-4349-8fa9-feb0334ec022.jpg,1
07c37a1b-fc76-4dc3-b5e0-e1a4f2ea5434.jpg,1
d4508d7b-9264-4d57-98a4-d72c879e6860.jpg,1
72f07793-2103-413b-a49b-da248b1961ff.jpg,1
45ca52e8-3084-4b84-b6ea-cb3aaffbe27f.jpg,0
7add180a-2822-40de-8897-85dea2609f20.jpg,0
